PMID	Labeling_State	Correct_Label	Agreement	vector	predicted	true_cats
27002269	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.25	[0.68, 0.7, 0.77, 0.7]	1	1
30466122	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.3	[2.27, 1.32, 1.32, 2.1]	-1	-1
28266089	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.3	[1.46, 2.24, 2.14, 1.44]	0	2
31673367	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.308	[2.7, 2.92, 2.12, 1.32]	0	2
30443536	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.333	[2.8, 3.1, 2.98, 0.0]	0	2
31994957	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.333	[2.66, 3.06, 2.92, 0.0]	0	-1
26399329	Gold Standard	'0 - the study does not directly investigate quality of life'	0.333	[0.0, 0.84, 0.62, 0.62]	0	0
21306237	Gold Standard	'0 - the study does not directly investigate quality of life'	0.353	[4.23, 3.38, 4.27, 0.0]	1	0
33758820	Gold Standard	'0 - the study does not directly investigate quality of life'	0.357	[2.88, 3.62, 3.52, 0.0]	0	0
23418997	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.357	[3.34, 3.63, 2.76, 0.0]	0	-1
32061857	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.357	[2.8, 3.54, 3.5, 0.0]	0	1
32568150	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.357	[2.58, 3.72, 2.86, 0.7]	0	2
31038230	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.357	[3.68, 3.68, 2.86, 0.0]	-1	1
22131679	Gold Standard	'0 - the study does not directly investigate quality of life'	0.357	[3.54, 3.92, 3.01, 0.0]	0	0
22185050	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.364	[1.32, 2.92, 1.36, 2.04]	0	2
26445325	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.364	[2.28, 3.14, 3.02, 0.0]	0	1
20592857	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.4	[0.74, 1.5, 1.38, 0.0]	0	1
12791330	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.4	[0.0, 1.38, 1.54, 0.7]	1	1
15663130	Gold Standard	'0 - the study does not directly investigate quality of life'	0.4	[0.6, 1.34, 1.36, 0.0]	1	0
25736164	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.4	[0.61, 1.58, 0.0, 1.61]	2	2
25845857	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.4	[0.0, 0.64, 1.37, 1.38]	2	2
29575626	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.4	[0.0, 1.36, 0.82, 1.28]	0	2
30996384	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.4	[0.66, 1.4, 1.35, 0.0]	0	1
28820301	Gold Standard	'0 - the study does not directly investigate quality of life'	0.426	[39.85, 34.97, 19.11, 0.0]	-1	0
27823948	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.492	[1.28, 45.24, 44.98, 0.82]	0	1
22213776	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 0.68, 0.76, 1.51]	2	1
18688785	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.37, 1.46, 0.0]	1	1
20209594	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.5	[0.0, 0.69, 1.44, 0.6]	1	2
21719429	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.0, 1.62, 1.52, 0.0]	0	0
24321081	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.82, 0.7, 0.0, 0.0]	-1	0
32186590	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.95, 2.36, 0.0]	1	1
20433730	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.48, 1.4, 0.0]	0	1
