ID_PAPER	IRRELEVANT	COMMENTS	TIMESTAMP	CURATOR	DISEASE_NAME	SECONDARY_CHECK	PRIMARY_CATEGORY	SECONDARY_CATEGORY
19403253			2021-04-26T02:42:03.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	
19410311			2021-05-08T15:41:29.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	1.3. THERAPEUTICS IN THE CLINIC
20042635		I would label this with 2.2. Normal Biology		curator1	hereditary hemorrhagic telangiectasia			
20042709		Also 2.3. Non in-vivo Human or non-human model system	2021-04-23T04:45:49.000Z	curator1	hereditary hemorrhagic telangiectasia		2.1. DISEASE MECHANISM	
20067780			2021-05-08T15:31:27.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	
20093519		REVISITED 4/30 - NO CHANGE: this study looked at both mutations (2.1) and a diagnostic method (CT) (1.1)	2021-04-23T18:40:17.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	2.1. DISEASE MECHANISM
20141966		REVISITED 4/30 - NO CHANGE: discussion of presentation and diagnostic workup (1.1.) and thoracic endografting (1.3)	2021-04-26T03:12:31.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	1.3. THERAPEUTICS IN THE CLINIC
20170910			2021-05-08T14:23:22.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	
20198988			2021-04-19T03:05:49.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
20202952		"I added 1.1 Clinical Char... because the authors also suggest considering this presentation as a prompt to diagnose HHT
REVISITED 4/25 - no change, see comment above
REVISITED 4/30 - NO CHANGE"	2021-04-23T04:39:23.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY
20224041		Also 2.3. Non in-vivo Human or non-human model system	2021-04-23T18:34:08.000Z	curator1	hereditary hemorrhagic telangiectasia		2.1. DISEASE MECHANISM	
20368796			2021-05-08T15:09:23.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
20414677			2021-05-08T15:09:07.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	1.3. THERAPEUTICS IN THE CLINIC
20458853			2021-04-23T04:40:42.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	
20461185		not about HHT but I would classify as 1.3		curator1	hereditary hemorrhagic telangiectasia			
20620301		"REVISITED 4/25 - CHANGED: Medical records and pathologic material - so I chose 1.1. Because treatment is also discussed, I have now added 1.3.
REVISITED 4/30 - NO CHANGE"	2021-04-25T17:18:22.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	1.3. THERAPEUTICS IN THE CLINIC
20622729			2021-05-08T14:20:15.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	1.3. THERAPEUTICS IN THE CLINIC
20739767		"REVISITED 4/25 - CHANGED: added 1.1 due to discussion of diagnostic workup
REVISITED 4/30 - NO CHANGE. intervention is described (closed PFO, then embolization) (1.3) and diagnosis (1.1)"	2021-04-26T01:49:43.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY
20879701	True	I think this is a review		curator1	hereditary hemorrhagic telangiectasia			
21310938		Could this also be 3.4. Patient-Based Therapeutics , or does that have to be strictly for clinical use?	2021-04-26T02:16:20.000Z	curator1	hereditary hemorrhagic telangiectasia		2.1. DISEASE MECHANISM	
21336824		and 2.4. In-vivo Human basic science study	2021-05-08T15:02:22.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
21344445		not a clinical trial ...	2021-04-23T04:43:02.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
21345778			2021-04-23T18:30:46.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
21426754			2021-05-08T14:33:52.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	1.3. THERAPEUTICS IN THE CLINIC
21484125			2021-04-26T03:12:54.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
21740592		Not quite sure if the focus here is treatment of the stroke, or prevention of the stroke in HHT patients, or just describing the risk of stroke in HHT patients - I am thinking it's the last option, so I chose Clinical Characteristics etc.	2021-04-23T04:50:12.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	
21764776			2021-04-23T18:38:56.000Z	curator1	hereditary hemorrhagic telangiectasia		2.1. DISEASE MECHANISM	
21792166			2021-04-19T03:05:05.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
21816895		REVISIT - CHANGED: does not appear to be a clinical trial so changed from 3.4 to 1.3	2021-04-25T17:22:59.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
21842025			2021-05-08T14:37:46.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	1.3. THERAPEUTICS IN THE CLINIC
21855727	True	I think this is a review		curator1	hereditary hemorrhagic telangiectasia			
21861324			2021-04-23T18:45:49.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	
22120563		I chose Therapeutics in the Clinic over Patient-Based Therapeutics because I think this is more of a case series (retrospective analysis of charts) rather than a randomized, controlled clinical trial.	2021-04-19T03:47:16.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
22196589			2021-04-23T18:45:14.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	
22227516			2021-04-19T04:18:40.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
22229593			2021-04-19T02:58:47.000Z	curator1	hereditary hemorrhagic telangiectasia		1.3. THERAPEUTICS IN THE CLINIC	
22240227			2021-05-01T00:53:17.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	1.3. THERAPEUTICS IN THE CLINIC
22281938		This study is on health economics, which isn't really covered by any of the current labels. Most closely related might be 1.2. Quality of Life		curator1	hereditary hemorrhagic telangiectasia			
22331366		REVISITED 4/30 - NO CHANGE: genotyping (2.1) and clinical features (1.1) were described. The study could also be tagged with 0.2. Related Diseases however.	2021-04-26T03:16:38.000Z	curator1	hereditary hemorrhagic telangiectasia		1.1. CLINICAL CHARACTERISTICS OR DISEASE PATHOLOGY	2.1. DISEASE MECHANISM
22379273	True	review		curator1	hereditary hemorrhagic telangiectasia			
22385575			2021-05-01T00:54:30.000Z	curator1	hereditary hemorrhagic telangiectasia		2.1. DISEASE MECHANISM	
