ID_PAPER	COMMENTS	DISEASE_NAME	TIMESTAMP	IRRELEVANT	CURATOR	PRIMARY_CATEGORY	SECONDARY_CATEGORY
34103343	not sure. they claim that QOL was improved but I am not sure how this was measured. the main purpose of this paper appears to be sequencing/diagnosis so i think this is not QOL	Adult Polyglucosan Body Disease	2021-11-19T17:19:15.000Z		curator1	NOT(1.2. QUALITY OF LIFE)	NOT(1.2. QUALITY OF LIFE)
21086185		Amyotrophic lateral sclerosis	2021-11-19T17:19:26.000Z		curator1	1.2. QUALITY OF LIFE	NOT(1.2. QUALITY OF LIFE)
34076273		Amyotrophic lateral sclerosis	2021-11-19T17:20:02.000Z		curator1	1.2. QUALITY OF LIFE	NOT(1.2. QUALITY OF LIFE)
21225518		Amyotrophic lateral sclerosis	2021-11-19T17:20:56.000Z		curator1	1.2. QUALITY OF LIFE	NOT(1.2. QUALITY OF LIFE)
34471441	QOL was not measured	Amyotrophic lateral sclerosis	2021-11-19T17:21:21.000Z		curator1	NOT(1.2. QUALITY OF LIFE)	NOT(1.2. QUALITY OF LIFE)
27884455	QOL not measured	Amyotrophic lateral sclerosis	2021-11-19T17:22:45.000Z		curator1	NOT(1.2. QUALITY OF LIFE)	NOT(1.2. QUALITY OF LIFE)
29860398	"""CTGF/CCN2 might be a novel therapeutic target to ameliorate symptoms and improve the quality of life"""	Amyotrophic lateral sclerosis	2021-11-19T17:24:06.000Z		curator1	NOT(1.2. QUALITY OF LIFE)	NOT(1.2. QUALITY OF LIFE)
34200087		Amyotrophic lateral sclerosis	2021-11-19T17:24:33.000Z		curator1	1.2. QUALITY OF LIFE	NOT(1.2. QUALITY OF LIFE)
17924237		Amyotrophic lateral sclerosis	2021-11-19T17:24:49.000Z		curator1	1.2. QUALITY OF LIFE	NOT(1.2. QUALITY OF LIFE)
32338350		Amyotrophic lateral sclerosis	2021-11-19T17:25:26.000Z		curator1	1.2. QUALITY OF LIFE	NOT(1.2. QUALITY OF LIFE)
